"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Parameterization of fast and accurate simulations for complex supply networks","B. M. Duarte; J. W. Fowler; K. Knutson; E. Gel; D. Shunk","Dept. of Ind. Eng., Arizona State Univ., Tempe, AZ, USA; Dept. of Ind. Eng., Arizona State Univ., Tempe, AZ, USA; Dept. of Ind. Eng., Arizona State Univ., Tempe, AZ, USA; Dept. of Ind. Eng., Arizona State Univ., Tempe, AZ, USA; Dept. of Ind. Eng., Arizona State Univ., Tempe, AZ, USA","Proceedings of the Winter Simulation Conference","22 Jan 2003","2002","2","","1327","1336 vol.2","More efficient and effective control of supply networks is conservatively worth billions of dollars to the world economy. Adopting an approach by which the basic disciplines of industrial engineering, control engineering, system simulation and business re-engineering are integrated into one comprehensive system has been known to produce impressive results. This paper discusses a modular approach to develop a discrete event simulation model that has the appropriate level of abstraction to capture the inherent complexities that exist in a supply chain and is yet simple, fast and produces results of high fidelity. It discusses a method to parameterize each module by fine-tuning a few parameters to make it represent an entire factory, a warehouse or a transportation link.","","0-7803-7614-5","10.1109/WSC.2002.1166398","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=1166398","","Supply chains;Companies;Industrial engineering;Electronics industry;Fluctuations;Marketing and sales;Control engineering;Discrete event simulation;Transportation;Semiconductor device manufacture","discrete event simulation;supply chain management;production control","complex supply networks;parameterization;industrial engineering;control engineering;system simulation;business re-engineering;discrete event simulation model;abstraction;transportation link;warehouse;factory","","3","","26","","22 Jan 2003","","","IEEE","IEEE Conferences"
"Complexity-constrained trellis quantizers","M. F. Larsen; R. L. Frost","Dept. of Electr. & Comput. Eng., Brigham Young Univ., Provo, UT, USA; NA","IEEE Transactions on Information Theory","6 Aug 2002","1997","43","4","1134","1144","A reasonable measure of quantizer complexity is the expected number of quanta per input sample for which distortion is computed. Given this measure, a rate-distortion-complexity theory is obtained by extending earlier work in alphabet-constrained rate-distortion theory. Numerical results show that operation on the alphabet-constrained rate-distortion bound can be obtained with a complexity of two. Furthermore, Lloyd-Max conditions are shown to describe the minimum of a slightly constrained version of the rate-distortion-complexity problem. Complexity-constrained design methods are applied first to trellis-coded quantizers, where they are shown to reduce arithmetic operations by at least 25%. They are then used to develop model-based trellis quantizers, the trellises of which are derived from a Markov model of the source. Simulation results confirm that excellent performance can be obtained with modest complexity.","1557-9654","","10.1109/18.605574","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=605574","","Rate-distortion;Distortion measurement;Design methodology;Mutual information;Arithmetic;Source coding;Data compression;Laboratories;Computational complexity;Computational modeling","quantisation (signal);trellis codes;rate distortion theory;computational complexity;Markov processes","complexity-constrained trellis quantizers;quantizer complexity;rate distortion complexity theory;alphabet constrained rate distortion theory;Lloyd-Max conditions;complexity constrained design methods;trellis coded quantizers;arithmetic operations reduction;model based trellis quantizers;Markov model;simulation results;performance","","4","","21","","6 Aug 2002","","","IEEE","IEEE Journals"
"Simulation & modelling of a tungsten filament with COMSOL for electrothermal process","S. Cadar; E. Radu; T. Patarau; D. Petreus; F. S. Maxime","Department of Analytical Instrumentation Research, INCDO-INOE 2000, Research Institute for Analytical Instrumentation, Cluj-Napoca, Romania; Department of Applied Electronics, Technical University of Cluj-Napoca, Romania; Department of Applied Electronics, Technical University of Cluj-Napoca, Romania; Department of Applied Electronics, Technical University of Cluj-Napoca, Romania; Department of Applied Electronics, Technical University of Cluj-Napoca, Romania","2016 IEEE 22nd International Symposium for Design and Technology in Electronic Packaging (SIITME)","8 Dec 2016","2016","","","165","170","This paper presents the modeling and simulation of a tungsten filament using COMSOLE. The simulation results are compared with experimental data. The study consist in analyzing temperature variations for tungsten filaments (commercial bulb, 12V and 21W), correlated to low and high temperatures of metallic filaments used in electrothermal evaporation processes. The temperature measurement of metallic filaments is a complex process. A lot of factors have to be taken into account, like the resistance temperature dependency, the temperature behavior and the properties of the metal used to produce it, the emissivity and so on. The thermal effects can cause different problems or can introduce unwanted outcomes. One of the important issues is the modeling of this phenomena and interactions to build a reliable mathematical model for the behavior of a filament based on these factors. The main source of all heat transfers is the filament and there are different methods to determine its temperature such as optical methods and resistivity method.","","978-1-5090-4445-0","10.1109/SIITME.2016.7777269","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=7777269","simulation;modelling;COMSOL;tungsten;filament","Mathematical model;Plasma temperature;Temperature measurement;Tungsten;Temperature;Conductivity;Temperature dependence","filament lamps;mathematical analysis;temperature measurement;tungsten","resistivity method;optical methods;heat transfers;mathematical model;metallic filaments;temperature measurement;electrothermal evaporation;commercial bulb;electrothermal process;COMSOL;tungsten filament;voltage 12 V;power 21 W","","","","7","","8 Dec 2016","","","IEEE","IEEE Conferences"
"A Simplified Model for Chireix Outphasing Combiner Efficiency","M. El-Asmar; A. Birafane; A. Kouki","École de Technologie Supérieure, Montréal, Québec, H3C 1K3, Canada; École de Technologie Supérieure, Montréal, Québec, H3C 1K3, Canada; École de Technologie Supérieure, Montréal, Québec, H3C 1K3, Canada","2006 European Microwave Conference","15 Jan 2007","2006","","","192","195","In this paper, a simplified model for the instantaneous efficiency of the Chireix combiner is proposed. This model is given in the form of a very simple and intuitive expression that can replace the more complex expressions recently proposed in the literature. The model takes into account the impedance mismatch between the amplifiers and the lossless combining structure and is shown to be valid for all combiners considered. Validation of the simplified model is performed by comparison of the model's predictions to experimental and simulation results for five different Chireix combiners. Excellent agreement between the proposed model, simulations and measurements is obtained in all cases considered","","2-9600551-6-0","10.1109/EUMC.2006.281251","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=4057780","LINC amplifier;Chireix combiner;Outphasing;lossless combiner;power efficiency","Phase modulation;Predictive models;Impedance;Linearity;Power amplifiers;Nonlinear distortion;Signal analysis;Voltage;Microwave technology;Reflection","power amplifiers;power combiners","Chireix outphasing combiner efficiency;instantaneous efficiency;Chireix combiner;impedance mismatch;amplifiers;lossless combiner;power efficiency","","7","","8","","15 Jan 2007","","","IEEE","IEEE Conferences"
"Nonlinear Structure-Preserving Network Reduction Using Holomorphic Embedding","Y. Zhu; D. Tylavsky; S. Rao","Department of Electrical, Computer and Energy Engineering, Arizona State University, Tempe, AZ, USA; Department of Electrical Engineering, Arizona State University, Tempe, AZ, USA; Department of Electrical, Computer and Energy Engineering, Arizona State University, Tempe, AZ, USA","IEEE Transactions on Power Systems","16 Feb 2018","2018","33","2","1926","1935","Network reduction is an effective tool for reducing the complexity of many analysis, design, and optimization problems. However, many of the conventional reduction methods, such as Ward and Radial, Equivalent, Independent are only accurate at the base case. When the operating condition changes, the reduced model does not match the full model performance because linearization is used somewhere in the process. In this paper, a new reduction method that preserves the model's nonlinear structure using the holomorphic embedding (HE) technique is proposed, to generate network reductions which are accurate over a broader range of operating conditions. When applied to the power-flow problem, simulation results show that the proposed method can significantly improve bus-voltage and branch-flow accuracy, matching the full-model power-flow solution exactly when moving along the so-called α line. In addition, the HE reduction is more efficient than traditional methods when calculating nonlinear network solutions under many operating conditions.","1558-0679","","10.1109/TPWRS.2017.2738320","Consortium for Electric Reliability Technology Solutions; ","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=8007286","AC power flow;holomorphic embedding;network reduction;power system analysis","Reactive power;Mathematical model;Generators;Computational modeling;Load flow;Load modeling;Simulation","load flow;optimisation","conventional reduction methods;optimization problems;effective tool;nonlinear structure-preserving network reduction;nonlinear network solutions;full-model power-flow solution;branch-flow accuracy;bus-voltage;power-flow problem","","8","","23","","10 Aug 2017","","","IEEE","IEEE Journals"
"Stochastic Cellular Automata Model to Reduce Rule Space Cardinality Applied to Task Scheduling with Many Processors","T. I. de Carvalho; G. M. B. de Oliveira","Univ. Fed. de Uberlandia, Uberlandia, Brazil; Univ. Fed. de Uberlandia, Uberlandia, Brazil","2017 Brazilian Conference on Intelligent Systems (BRACIS)","8 Jan 2018","2017","","","115","120","Task scheduling consists of allocating the parallel program tasks into the processors of a multiprocessing system. This paper investigates cellular automata (CA) based models for solving the scheduling problem. A standard genetic algorithm (GA) is employed to evolve appropriate CA rules, that is transition rules able to schedule parallel programs. We identified that the state-of-art CA-based schedulers suffer when trying to manage eight or more processors. This difficulty is mainly due to the severe increment in the rule space cardinality when the number of states per cell are increased to represent more processors. We propose a non-standard cellular automata model able to minimize this problem. A new definition of local neighborhood is proposed here, which is denominated as Mapping-Reduce. In addition, the transition rule related to the mapping-reduce neighborhood uses a nondeterministic output, which printed a stochastic characteristic for the new CA model. By using the new CA model we were able to simplify the complexity of the transition rules employed in the proposed CA-based scheduler model. Simulations based on the new model were carried out using a family of four parallel programs that solve equations by Gaussian elimination. Based on the experiments using 4, 8 and 16 processors, it was noted that the results of the CAbased scheduling approach were improved for architectures with a higher number of nodes. Moreover, the evolved rules had shown a better generalization ability when applied to schedule new parallel programs which is a critical point related to the main motivation for the employment of CA in scheduling.","","978-1-5386-2407-4","10.1109/BRACIS.2017.27","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=8247039","Cellular Automata;Genetic Algorithm;Task Scheduling Problem","Processor scheduling;Program processors;Computer architecture;Lattices;Microprocessors;Automata","cellular automata;genetic algorithms;microprocessor chips;multiprocessing systems;parallel programming;processor scheduling","stochastic cellular automata model;Reduce rule space cardinality applied;task scheduling;processors;parallel program tasks;multiprocessing system;cellular automata based models;scheduling problem;standard genetic algorithm;appropriate CA rules;state-of-art CA;nonstandard cellular automata model;Mapping-Reduce;neighborhood uses a nondeterministic output;stochastic characteristic;CA model;scheduler model;CAbased scheduling approach","","2","","21","","8 Jan 2018","","","IEEE","IEEE Conferences"
"Demo: Server-assisted interactive mobile simulations for pervasive applications","C. Dibak; F. Dürr; K. Rothermel","Institute of Parallel and Distributed Systems, University of Stuttgart, Germany; Institute of Parallel and Distributed Systems, University of Stuttgart, Germany; Institute of Parallel and Distributed Systems, University of Stuttgart, Germany","2017 IEEE International Conference on Pervasive Computing and Communications Workshops (PerCom Workshops)","4 May 2017","2017","","","68","70","Emerging augmented reality devices allow for visualizing results of numerical simulations ubiquitously. This enables decision makers and engineers in the field to make better decisions. However, computation of resource-intensive simulation models on resource-poor and battery-powered mobile devices requires to drastically reduce the quality of the simulation. We therefore proposed approaches utilizing a remote server and the Reduced Basis Method (RBM) to generate a reduced model of the simulation. In our demo, we demonstrate the effectiveness of our approaches for mobile simulations. Our demo consists of two devices, a mobile device and a server. Both devices are connected via wireless network. The mobile device visualizes the result of a complex computation. Parameters of the simulation are effected by sensors of the mobile device. The user can choose between computing on the mobile device, computing solely on the server, or computing using our approach.","","978-1-5090-4338-5","10.1109/PERCOMW.2017.7917525","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=7917525","Mobile Computing;Mobile Cyber-Physical Systems;Mobile Simulations","Mobile handsets;Computational modeling;Mathematical model;Servers;Middleware;Mobile communication;Numerical models","interactive systems;mobile computing;mobile handsets","server-assisted interactive mobile simulations;pervasive applications;remote server;reduced basis method;RBM;wireless network","","1","","5","","4 May 2017","","","IEEE","IEEE Conferences"
"A new integrated data structure for 3D GIS based on CSG and TIN","J. Tao","School Economics and Management, Zhongyuan University of Technology, 450007 Zhengzhou , China","2009 International Conference on Test and Measurement","17 Feb 2010","2009","1","","153","156","In order to organize and manage 3D GIS spatial data effectively, and represent 3D spatial entity integrally, a new simulation modeling algorithm is put forward, which combines data structures of constrained TIN and CSG. In this algorithm, TIN model is used to represent terrain and CSG model is used to represent buildings. The two simulation models are integrated by extracting ground contour lines of buildings as constrained conditions when carrying out triangulating terrains. And the visualization for all parts of the integrated model can be processed synchronously. The results of simulation experiments made with empirical data demonstrate that the algorithm simplifies modeling process and to a certian extent, reduces computing complexity for visualization.","2157-5606","978-1-4244-4699-5","10.1109/ICTM.2009.5412973","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=5412973","TIN;CSG;boundary subdivision;GIS;OpenGL","Data structures;Geographic Information Systems;Tin;Data models;Buildings;Conference management;Technology management;Data visualization;Computational modeling;Application software","data structures;geographic information systems;mesh generation;solid modelling;visual databases","3D GIS spatial data;geographic information system;simulation modeling algorithm;triangulated irregular network;data structures;constructive solid geometry","","1","","7","","17 Feb 2010","","","IEEE","IEEE Conferences"
"Survivability modeling with stochastic reward nets","P. E. Heegaard; K. S. Trivedi","Department of Telematics, Norwegian University of Science and Technology (NTNU) Trondheim, N-7491, Norway; Pratt School of Engineering, Duke University, Durham, NC 27708, USA","Proceedings of the 2009 Winter Simulation Conference (WSC)","11 Mar 2010","2009","","","807","818","Critical services in a telecommunication network should survive and be continuously provided even when undesirable events like sabotage, natural disasters, or network failures happen. The network survivability is quantified as defined by the ANSI T1A1.2 committee which is the transient performance from the instant an undesirable event occurs until steady state with an acceptable performance level is attained. Performance guarantees such as minimum throughput, maximum delay or loss should be considered. This paper demonstrates alternative modeling approaches to quantify network survivability, including stochastic reward nets and continuous time Markov chain models, and cross-validates these with a process-oriented simulation model. The experience with these modeling approaches applied to networks of different sizes clearly demonstrates the trade-offs that need to be considered with respect to flexibility in changing and extending the model, model abstraction and readability, and scalability and complexity of the solution method.","1558-4305","978-1-4244-5771-7","10.1109/WSC.2009.5429679","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=5429679","","Stochastic processes;Steady-state;Performance loss;Throughput;Delay;Peer to peer computing;Resource management;Analytical models;Telematics;Scalability","telecommunication network reliability;telecommunication services","survivability modeling;stochastic reward nets;telecommunication network;network survivability;ANSI T1A1.2 committee;continuous time Markov chain models;process-oriented simulation model;scalability;complexity;telecommunication services","","3","","32","","11 Mar 2010","","","IEEE","IEEE Conferences"
"A mapping approach for Marine Observatory relying on enterprise architecture","C. G. Aoun; I. Alloush; Y. kermarrec; J. Champeau; O. K. Zein","Université européenne de Bretagne, Telecom Bretagne, Institut Mines-Telecom, UMR CNRS 6285 Lab-STICC, France; Université européenne de Bretagne, Telecom Bretagne, Institut Mines-Telecom, UMR CNRS 6285 Lab-STICC, France; Université européenne de Bretagne, Telecom Bretagne, Institut Mines-Telecom, UMR CNRS 6285 Lab-STICC, France; Ecole Nationale Supérieure de Techniques Avancées, ENSTA Bretagne, Bretagne France; Lebanese University, Faculty of Sciences, Lebanon","OCEANS 2015 - MTS/IEEE Washington","11 Feb 2016","2015","","","1","10","UnderWater Sensor Networks (UW-SNs) performs collaborative monitoring tasks over an underwater determined area. These tasks could be underwater or deep sea observatories. Acoustic sensors (Hydrophones) are responsible to acquire the data underwater then transfer it to components/devices. Marine Observatory (MO) is the scenario of data exchanged between the different components/devices of the Underwater Acoustic Sensor Networks (UW-ASNs). Hence, the MO infrastructure could be based on an (UW-ASNs). This observation should take into consideration the environmental constraints since it may require specific tools, materials and devices (marines cables, specific servers and routers, etc.). The logical and physical components that are used in these observatories supply interchange procedures between the various devices of the environment (Smart Sensors, Data Fusion Servers). These components provide new services due to the long period running of the network. In this paper, we present our extended MetaModel that is used to generate a new design tool (ArchiMO). Thus, we propose a mapping approach between the layers of the enterprise architecture standard. This approach throws instantly domain-specific concepts and constraints in layers on run-time design activity according to a satisfaction of a certain criteria/constraints. We illustrate our proposal with an underwater object localization example from the MO domain. Additionally, we generate the corresponding simulation code for a standard network simulator using our self-developed domain-specific model compiler. Our approach helps to manage the complexity, and to reduce the time of the entire development life cycle of an MO information system. It supplies in the MO context, a way to share the different viewpoints of the designers.","","978-0-9339-5743-5","10.23919/OCEANS.2015.7404633","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=7404633","Smart Sensors;Data Fusion;ArchiMate;Enterprise Architecture;Meta-Model;Model Driven Engineers;Underwater Object Localization;Marine Observatory;Models;Simulation;Domain Specific Modeling Language","Design tools;Servers;Complexity theory;Observatories;Information systems;Software;Context","environmental monitoring (geophysics);hydrophones;oceanographic techniques;underwater acoustic communication;wireless sensor networks","marine observatory;MO information system;enterprise architecture;collaborative monitoring tasks;underwater observatories;deep sea observatories;acoustic sensors;hydrophones;underwater acoustic sensor networks;UW-ASN;MetaModel;ArchiMO design tool;underwater object localization;self-developed domain-specific model compiler","","","","41","","11 Feb 2016","","","IEEE","IEEE Conferences"
"Using Delays for Process flow Simplification","I. Stogniy; W. Scholl","Technische Universität Dresden,Institute of Applied Computer Science,Dresden,GERMANY,01062; Infineon Technologies Dresden,Dresden,GERMANY,01099","2019 Winter Simulation Conference (WSC)","20 Feb 2020","2019","","","2372","2383","Infineon Technologies Dresden uses discrete event simulation to forecast key performance indicators. The simulation has also been used to perform experiments to improve production planning. It is important to reduce the efforts required for the creation and maintenance of the simulation models. Especially for the simulation studies, less detailed models can be utilized where components could be omitted. We considered a simplification of the process flows through operation substitution for constant delays. Different levels of model complexity were investigated. For each level, different tool sets were determined which were substituted for delays. First In First Out and Critical Ratio dispatching rules were used. Lot cycle time distributions were utilized in order to compare simplified models with a detailed model.","1558-4305","978-1-7281-3283-9","10.1109/WSC40007.2019.9004724","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=9004724","","Tools;Delays;Dispatching;Standards;Art;Data models;Manuals","discrete event simulation;dispatching;maintenance engineering;production planning;semiconductor device manufacture","process flow simplification;Infineon Technologies Dresden;discrete event simulation;key performance indicators;production planning;maintenance engineering;first in first out dispatching rule;lot cycle time distributions;critical ratio dispatching rules","","","","13","","20 Feb 2020","","","IEEE","IEEE Conferences"
"Simulation based optimization for supply chain configuration design","Truong; Azadivar","Sch. of Marine Sci. & Technol., Massachusetts Univ., New Bedford, MA, USA; NA","Proceedings of the 2003 Winter Simulation Conference, 2003.","30 Jan 2004","2003","2","","1268","1275 vol.2","The design of a supply chain network as an integrated system with several tiers of suppliers is a difficult task. It consists of making strategic decisions on the facility location, stocking location, production policy, production capacity, distribution and transportation modes. This research develops a hybrid optimization approach to address the supply chain configuration design problem. The new approach combines simulation, mixed integer programming and genetic algorithm. The genetic algorithm provides a mechanism to optimize qualitative and policy variables. The mixed integer programming model reduces computing efforts by manipulating quantitative variables. Finally simulation is used to evaluate performance of each supply chain configuration with nonlinear, complex relationships and under more realistic assumptions. The approach is designed to be robust and could handle the large scale of the real world problems.","","0-7803-8131-9","10.1109/WSC.2003.1261560","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=1261560","","Supply chains;Design optimization;Analytical models;Manufacturing;Transportation;Production;Computer languages;Graphical user interfaces;Databases;Libraries","genetic algorithms;supply chain management;decision making;facility location;integer programming;simulation","supply chain configuration design;hybrid optimization approach;mixed integer programming model;simulation based optimization;supply chain network;strategic decisions;facility location;stocking location;production policy;production capacity;transportation modes;distribution modes;genetic algorithm","","26","","20","","30 Jan 2004","","","IEEE","IEEE Conferences"
"A mathematical modeling approach and a novel solution for sector azimuth angle planning","A. Imran; E. Yaacoub; Z. Dawy; A. Abu-Dayya","Qatar Mobility Innovations Center (QMIC), Doha, Qatar, 210531; Qatar Mobility Innovations Center (QMIC), Doha, Qatar, 210531; American University of Beirut, Department of Electrical and Computer Engineering; Qatar Mobility Innovations Center (QMIC), Doha, Qatar, 210531","MELECON 2014 - 2014 17th IEEE Mediterranean Electrotechnical Conference","26 May 2014","2014","","","334","338","State of the art planning tools rely on intricate simulation models and metaheuristic approaches to determine the optimal azimuth angle of each sector in a system. The process is highly time consuming and the quality of outcome is heavily dependent on the practitioner's experience in setting input parameters. To address this problem, in this paper we exploit a mathematical approach and develop a system model that ultimately helps to obtain a low complexity analytical solution. In addition to providing insights into system behaviour as function of azimuth angles, the potential performance gain of the proposed optimisation solution is investigated through extensive numerical results.","2158-8481","978-1-4799-2337-3","10.1109/MELCON.2014.6820556","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=6820556","","Azimuth;Planning;Optimization;Antennas;Gain;Linear programming;Mathematical model","cellular radio;computational complexity;optimisation;telecommunication network planning","mathematical modeling approach;sector azimuth angle planning;planning tool;simulation model;metaheuristic approach;optimal azimuth angle;low complexity analytical solution;system behaviour;performance gain;optimisation solution;cellular system performance","","1","","22","","26 May 2014","","","IEEE","IEEE Conferences"
"Using model-driven approach for engineering the System Engineering System","V. Arnould","Combat System Architecture Department, Naval Group, France","2018 13th Annual Conference on System of Systems Engineering (SoSE)","9 Aug 2018","2018","","","608","614","Naval ships building requires numerous domains of expertise raising a major challenge to design, produce, support and retire a system that is composed of thousands of equipment's and features, and which will be operated by different navies for several missions around the globe. Coming with the digitalization of the ships, the success of MBSE (Model-Based System Engineering) approach in software-intensive systems has led major industrial actors, of which Naval Group, to adopt MBSE for large scale projects. Nowadays industry has to go further, as more and more systems have interactions between each other in a systems-of-systems prospective, as well as MBSE is becoming more mature. One major challenge is to run an efficient system engineering process, because it will secure the following other phases of the product lifecycle. The system engineering system required for an Aircraft-carrier, frigates and submarines design and development involves numerous companies and teams, in several domains of expertise. The number and the complexity of the involved enabling systems are also important: requirement and quality management tools, modelling and simulation tools, 3D design tools, etc... The communications between those teams, as well as the interfaces between those tools, are key points for a good design phase. So this paper proposes to take an MBSE approach to enhance these communications during the engineering phases, and to enable this integration between the different enabling systems that supports the engineering process. Another advantage is to establish the numerical continuum between the several engineering levels, domains and data, and to enhance automation of this integration by using the power of the model-based standards and associated frameworks. The innovation comes from the idea of engineering a new enabling system, able to define the system engineering integrated toolchain, tailored for each complex socio-technical system engineering process, and that this engineering is not performed by tool vendor, but by the target program team. So to define this system, we have tried to apply the fundamental principles of system engineering, onto the engineering system it-self, within a model-based approach: (i) the specification first, by giving more details on the motivations, second by expressing a simple set of requirements, modelled in a set of functions; (ii) the enterprise architecture modelling through a set of artefacts representing the System Engineering meta-model, and a first level of allocation; (iii) At last, as an early validation phase, where the relevancy and benefits of this approach will be discussed.","","978-1-5386-4876-6","10.1109/SYSOSE.2018.8428769","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=8428769","System Engineering;Systems-of-Systems;MBSE;SysML;BPMN;OSLC","Tools;Systems engineering and theory;Automation;Adaptation models;Production;Stakeholders;Quality management","formal specification;naval engineering;ships;software engineering;systems engineering","model-driven approach;system engineering system;MBSE approach;Model-Based System Engineering;software-intensive systems;systems-of-systems;efficient system engineering process;complex socio-technical system engineering process;System Engineering meta-model;simulation tools;Naval ships","","","","5","","9 Aug 2018","","","IEEE","IEEE Conferences"
"A generic model of equipment availability under imperfect maintenance","C. R. Cassady; I. M. Iyoob; K. Schneider; E. A. Pohl","Dept. of Ind. Eng., Univ. of Arkansas, Fayetteville, AR, USA; NA; NA; NA","IEEE Transactions on Reliability","5 Dec 2005","2005","54","4","564","571","This paper explores the impact of imperfect repair on the availability of repairable equipment. Kijima's first virtual age model is used to describe the imperfect repair process. Due to the complexity of the underlying assumptions of this model, we are unable to derive a closed-form equation for availability. Therefore, simulation modeling & analysis are used to evaluate equipment availability. Based on initial availability plots, a generic availability function is proposed. A 2/sup 3/ factorial experiment is performed to evaluate the accuracy of this model. The maximum absolute error between the simulation output, and the corresponding values of the availability function is 3.82%. This indicates that our proposed function provides a reasonable approximation of equipment availability, which simplifies meaningful analysis for the unit. Therefore, a method is defined for determining optimum equipment replacement intervals based on average cost. Next, meta-models are developed to convert equipment reliability & maintainability parameters into the coefficients of the availability model. We expand on our initial experiment using a circumscribed central composite experimental design. We evaluate the accuracy of the meta-models for the 15 experiments & 50 random experiments within the design space. For the 50 new experiments, we compare the replacement policy obtained from analysis of the meta-model to the policy obtained directly from the simulation output. The average increase in cost resulting from the sub-optimal replacement policy is only 0.10%. Therefore, we conclude that the meta-models are robust, and provide good estimates of the parameters of our proposed availability function. By doing this, we eliminate the need to perform simulation to obtain the parameters of the availability model.","1558-1721","","10.1109/TR.2005.857633","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=1546563","Availability;imperfect maintenance;replacement;virtual age","Availability;Cost function;Analytical models;Parameter estimation;Weibull distribution;Equations;Performance evaluation;Maintenance;Design for experiments;Robustness","reliability theory;maintenance engineering;costing","generic availability function;imperfect repair process;repairable equipment;Kijima's first virtual age model;closed-form equation;simulation modeling;costing;equipment reliability;maintainability parameter;sub-optimal replacement policy;robust metamodel","","45","","16","","5 Dec 2005","","","IEEE","IEEE Journals"
"Planning for end-to-end formal using simulation-based coverage","P. Aggarwal; D. Chu; V. Kadamby; V. Singhal","Oski Technology, Gurgaon, India; Cadence Design Systems, San Jose, CA, USA; Cisco, San Jose, CA, USA; Oski Technology, Mountain View, CA, USA","2011 Formal Methods in Computer-Aided Design (FMCAD)","9 Feb 2012","2011","","","9","16","Model checking tools are gaining traction as a practical formal verification solution for industrial designs. However, the use of abstraction models is key to overcoming complexity barriers in applying these tools. Coverage has been a useful metric to determine when simulation-based verification is complete. In this paper, we show how similar coverage metrics can be used to determine the completeness of a formal verification setup. We also show how coverage can be used to determine effectiveness of different abstraction models are. This methodology can be used to set formal verification goals, and to measure the progress of the work, thereby placing formal verification in a chip design schedule. We use a real-world design with a large state space, and present quantitative coverage metrics to illustrate the methodology, and its benefits for faster run-time, faster discovery of bugs, and higher coverage.","","978-0-9835678-1-3","","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=6148917","","Payloads;Complexity theory;Clocks;Radiation detectors;Protocols;Schedules","digital simulation;formal verification;integrated circuit design","end-to-end formal planning;simulation-based coverage;model checking tools;formal verification solution;industrial designs;abstraction models;simulation-based verification;coverage metrics;chip design schedule","","","","21","","9 Feb 2012","","","IEEE","IEEE Conferences"
